dm,110100000011,12,26
pc,110100001110,12,26
ek,110100001111,12,26
jo,110100001100,12,26
dr,110100001101,12,26
hd,110000101000,12,25
tj,101111110111,12,25
lw,101111110110,12,25
oh,110000101001,12,25
ze,101111000101,12,24
dn,101101011110,12,24
cn,101101011111,12,24
zt,101101011001,12,24
cf,101101011000,12,24
sv,101011100010,12,23
nv,101011111101,12,23
wm,101011111100,12,23
aj,101011100011,12,23
fs,101011100110,12,23
cb,101011100111,12,23
pn,100110110000,12,22
xv,100110110001,12,22
wn,100101101110,12,22
jp,100101101111,12,22
kr,100001010001,12,21
je,100001010011,12,21
oe,100001010000,12,21
my,100001010100,12,21
mh,100001010101,12,21
vb,100001010010,12,21
ej,011100000011,12,20
lg,011010001111,12,20
vs,010101101111,12,19
nj,010111010000,12,19
fy,010111010001,12,19
kg,011001101010,12,19
pm,010100100111,12,18
lh,010100100101,12,18
xc,010100100110,12,18
fd,010100011111,12,18
uo,010100011110,12,18
wy,010100100100,12,18
tf,001110111101,12,17
hm,010001110110,12,17
vp,001100001001,12,17
xi,001110111100,12,17
kn,001101001000,12,17
yd,001101001001,12,17
yw,000011100000,12,16
rb,000011100101,12,16
kt,1111010101010,13,15
oj,1111010101011,13,15
bf,1111010111100,13,15
yh,1111010111101,13,15
dv,1111010101000,13,15
pd,1111010101001,13,15
fg,1111100100100,13,15
oi,1111100100101,13,15
nz,1111010111110,13,15
ko,1111010111111,13,15
rh,1101011001111,13,14
mg,1110010010010,13,14
yu,1110011010001,13,14
hg,1110011010110,13,14
vg,1110011010000,13,14
cg,1100110111100,13,13
bj,1100110111110,13,13
fp,1100110111101,13,13
ij,1101011001110,13,13
cm,1100110111111,13,13
mf,1011010110110,13,12
ax,1011010110111,13,12
wp,1011110001101,13,12
fn,1011110010110,13,12
uf,1011110010111,13,12
bd,1011110010101,13,12
mn,1011110001110,13,12
cw,1001011011000,13,11
hf,1001011011001,13,11
yf,1001011011010,13,11
az,1001011011011,13,11
wu,0110100011100,13,10
hb,0110100011101,13,10
iq,0111000000010,13,10
wl,0111000000011,13,10
py,0110011010110,13,10
eq,0101011011101,13,9
cp,0100011101111,13,9
rv,0101000111001,13,9
vt,0101001010100,13,9
gb,0101001010101,13,9
hl,0101000111000,13,9
hw,0101001010110,13,9
fb,0101001010111,13,9
kc,0101000111010,13,9
xf,0101011011100,13,9
bw,0101000111011,13,9
jc,0100011101110,13,9
xs,0000111011100,13,8
uh,0000111000011,13,8
zi,0000111000111,13,8
xo,0000111000110,13,8
gm,0000110111110,13,8
ju,0000110111111,13,8
ky,0000111001000,13,8
nq,0000111000100,13,8
wd,0000110111100,13,8
xb,0000110111101,13,8
gf,11100100100010,14,7
md,11100110101111,14,7
gk,11100100100000,14,7
wb,11100100100001,14,7
uk,11111001011000,14,7
dj,11100100100011,14,7
bm,11100100100110,14,7
wf,11100100100111,14,7
pv,11100110101110,14,7
xh,10110101110101,14,6
pf,10110101101010,14,6
js,10110101110011,14,6
kp,10110101110000,14,6
bp,10110101110001,14,6
tz,10111100101000,14,6
dk,10111100010010,14,6
kh,10111100010011,14,6
ix,10110101110100,14,6
cd,01100110101110,14,5
mj,01110000000011,14,5
bh,01100110101111,14,5
zo,01110000001000,14,5
yg,01110000001001,14,5
uy,01110000001010,14,5
kd,01110000001011,14,5
lv,01110000000000,14,5
tq,01110000000010,14,5
jm,01110000000001,14,5
nx,111110010110011,15,4
kf,00001110110000,14,4
pj,00001110010010,14,4
hq,111110010110010,15,4
wc,00001110110010,14,4
oy,00001110110011,14,4
uj,00001110001011,14,4
yy,111110010110100,15,4
xw,111110010110101,15,4
sq,111110010110110,15,4
wz,111110010110111,15,4
jr,00001110111100,14,4
dq,00001110111101,14,4
yj,00001110111010,14,4
gv,101101011101110,15,3
xn,101111000111111,15,3
vf,101111000111100,15,3
wv,101111000111101,15,3
vm,101111001010010,15,3
dx,101111001010011,15,3
xe,101101011010110,15,3
vj,101101011010111,15,3
kl,101111000100001,15,3
fk,101111000100000,15,3
ku,101111000100010,15,3
xy,101111000100011,15,3
fv,101101011101100,15,3
hk,101101011101101,15,3
lq,101101011101111,15,3
xd,101101011010000,15,3
xx,101101011010001,15,3
kw,101111000110000,15,3
cv,101111000110001,15,3
jb,101101011100100,15,3
uv,101111000111110,15,3
lx,101111000110011,15,3
mr,101101011010010,15,3
xg,101101011010011,15,3
xl,101101011100101,15,3
rj,000011101111110,15,2
oz,000011101111111,15,2
wj,000011101100010,15,2
ez,000011101100011,15,2
tk,000011101111100,15,2
kk,000011101111101,15,2
zc,000011100010100,15,2
yk,000011100111000,15,2
aq,000011100111001,15,2
zh,000011100111110,15,2
qi,000011100111111,15,2
vl,1011110001100101,16,2
gq,001100001000000,15,2
ji,001100001000001,15,2
cj,000011100111011,15,2
uz,000011100110110,15,2
qp,000011100110111,15,2
km,000011100001010,15,2
hj,000011100111100,15,2
qa,000011100111101,15,2
bg,000011100110010,15,2
qs,001100001000011,15,2
jx,001100001000010,15,2
uw,000011100110000,15,2
kb,000011100110001,15,2
rx,000011101101110,15,2
pk,000011101101111,15,2
ux,000011101101000,15,2
uu,000011100100110,15,2
xm,0000111001110100,16,1
mx,0000111001110101,16,1
jq,0011000010001000,16,1
sj,0011000010001001,16,1
qt,0000111000101010,16,1
gj,0000111000101011,16,1
yx,0000111001101000,16,1
yz,0000111001101001,16,1
iy,1011110001100100,16,1
vh,0000111000010000,16,1
hv,0000111000010001,16,1
rq,0000111000010110,16,1
jt,0000111000010111,16,1
yv,0000111011010010,16,1
fj,0000111011101110,16,1
wq,0000111011101111,16,1
mq,0000111011101100,16,1
kv,0000111011101101,16,1
kj,0000111001100110,16,1
jn,0000111001100111,16,1
cq,0000111000010010,16,1
pq,0000111000010011,16,1
jh,0000111011010100,16,1
zl,0000111011010101,16,1
cx,0000111011011000,16,1
xj,0000111011011001,16,1
jv,0000111011011010,16,1
vq,0000111011011011,16,1
uq,0011000010001110,16,1
vn,0011000010001111,16,1
ql,0000111001001110,16,1
qo,0000111001001111,16,1
wx,0011000010001100,16,1
kz,0011000010001101,16,1
zb,0000111011010110,16,1
mk,0000111011010111,16,1
zm,0000111001101010,16,1
xr,0000111001101011,16,1
yq,0011000010001010,16,1
vr,0011000010001011,16,1
pz,0000111011010011,16,1
